personas,act_response,context
[User 1 persona]: ['i hate talking to people.' 'i believe dragons are real.'],"I think it's because in my head, I think everyone is judging me. I just start to sweat and I get sick in my stomach.","User1: Wow, I am never shy. Do you have anxiety?
User2: Yes. I end up sweating and blushing and feel like i'm going to throw up.
User1: and why is that?"
[User 1 persona]: ['i have three daughters.' 'my wife and i like to go scuba diving.'],What does your turtle eat?  Is it hard to take care of a turtle?,"User1: My turtle ran away from me today.
User2: Oh my god. Did you guys have a fight?
User1: that's funny. No. I let him roam around the house."
[User 1 persona]: ['i hate the taste of fish.' 'i like to paint.'],"Yeah, kids grow up so quickly ","User1: Our son in the Army is taking a leave to visit us next month.
User2: Oh, you must be so excited! I have a son in the Army as well and I love when he gets to visit! 
User1: Can't believe he grew up so quick"
[User 1 persona]: ['my favorite movie is good burger.' 'i like canning and whittling.'],"Wow, you've done a marathon?  I run a bit, but never tried anything long","User1: that's awesome , i like running in the morning instead of night
User2: sounds nice . i only eat meat even though i enjoy canning
User1: Canning is great for storing food. Sometimes I can food before my marathons to calm my anxiety."
[User 1 persona]: ['my hair is black.' 'i like rock climbing.'],I would suggest a fitness place with a rock wall.  Try that out in a safe environment,"User1: Are there different skill levels? 
User2: I do not know of specific levels, but rock climbing is physically and mentally challenging, it requires endurance agility and balance so you must start small 
User1: How would I start rock climbing?"
"[User 1 persona]: ['my dad works at the mill and my mom is a teacher.'
 'i love dogs and cats.']","I'm sure you'll do great. In second grade, that's where the kiddos will begin learning mathematics and science and social studies among other subjects","User1: This is the first time I drop my kids off to school and I know it'll be hard but I know the school si really good and the teachers are so wonderful.
User2: It is the start of their learning journey, be excited!
User1: I am excited. I just hope they can get through today then the rest of the week will be easy."
"[User 1 persona]: [""i'm going bald."" 'i ran into jimmy fallon just the other day.']",What do your kids look back at the pictures you kept of theme over the years,"User1: I kept all of my kids first day pics every year. They are in a book
User2: I need to try and do that.
User1: It's really great to have the memories."
[User 1 persona]: ['i like going to the moves.' 'i work in a circus as a juggler.'],"I get your feelings, but it's done and you must live with the consequences.","User1: I fell bad about myself because I voted on Trump for president and I regret immensaly 
User2: Oh well, you cant go back and change it now
User1: If Trump was a giant tree I would love cut it done."
[User 1 persona]: ['i just started working as a librarian.' 'i am catholic.'],"i've tall boots , that rock whether i like country or not !","User1: My brother asked me if I was the one who took his sunglasses. I did take his glasses but I told him no and now I feel bad.
User2: It's hard to admit when we are wrong. DO you think you will fess up?
User1: I have atleast twenty pairs. I really love to wear boots. I am a country person."
[User 1 persona]: ['i work in finance.' 'i hate cleaning.'],"Thats cool, most shades of green are named after plants.","User1: right on . i visited manhattan last summer . it is an awesome city to see .
User2: what is your favorite color ? mine is blue .
User1: Mine is green."
"[User 1 persona]: [""i'm from georgia."" 'i love chocolate.']",Hershey's is the pinnacle of chocolate and have been relevant for years and years.,"User1: Ah, even though I went to the factory I'm still unsure about the history. How long have they been around?
User2: The company was founded all the way back in 1894.
User1: Ok that's interesting, how do you know about that?"
"[User 1 persona]: ['i go to a catholic high school in new england.' ""i'm 17.""]",That is a nice place to holiday. Lake Michigan is so big!,"User1: They're very good schools. The children get a great education and learn so much about life and their faith.
User2: The church supports 43,800 secondary schools and 95,200 primary schools! So many!
User1: Wow that is a lot. I've definitely seen plenty when I holiday at Lake Michigan"
"[User 1 persona]: ['i m always looking for wildlife when i m outside.'
 'i get along better with animals than people.']",It is impressive.' 'Do you take any mediciation?,"User1: i love calisthenics , recently i moved up my push ups to a total of 1000 and astonished at what the body is capable  
User2: Wow, that is awesome! How long does that take?
User1: long time' 'Thank you!' 'I like the color purple"
"[User 1 persona]: ['i sing in the church choir every sunday.'
 'i favorite brand of clothing is donna karen.']",Do you have any other siblings besides your sister?,"User1: My little sister told me last week that she is going to name her son after me!
User2: Congrats to your family! What an honor that is. May I ask the name?
User1: Thank you! She's going to name him Cameron."
[User 1 persona]: ['my grandma likes to make pizza with me.' 'i like to play basketball.'],i like ones that aren't too scripted. there's one from japan called terrace house that is nice,"User1: It's quite an interesting branch of television, do you know what the first reality tv show was?
User2: well an early example of the genre was the 1991 dutch series Nummer 28 which was the first show to bring together strangers and record their interactions
User1: I am surprised how many reality tv shows are on air, what's your favorite type"
[User 1 persona]: ['i can speak three languages.' 'i love being in nature.'],Yeah isn't that crazy. I love geysers. Have you ever seen one in person?,"User1: I have heard that you can set your clock using the geyser. 
User2: I never knew that, interesting. It was established by Ulysses S. Grant in 1872!
User1: Really? That has been around for awhile then."
[User 1 persona]: ['i volunteer in my spare time.' 'i love to tell jokes.'],I like to watch dark comedies like Barry on HBO starring Bill Hader. It's funny and has some dramatic parts to it.,"User1: What kind of comedy do you like the most? I personally prefer dark humor.
User2: I really enjoy stand-up comedy. Specifically I love character impersonations.
User1: I do enjoy a good horror movie and then humor after."
[User 1 persona]: ['i like to skate.' 'i want to visit the uk.'],I fall from time to time as well,"User1: yea seems quite hard tho i have bad balance
User2: Yes, the inline skates have 2 to 5 wheels all in a single row. Quads have two in the front and back.
User1: lol i cant even do it with the quad kind, i just fall over anyway"
[User 1 persona]: ['i am a soccer mom.' 'i love family time.'],I think that is a good thing.' 'I can see why that would bother you.,"User1: My boyfriend's best friend is a female. "" 'Does that bother you?
User2: No not at all, I have plenty of male friends"
"[User 1 persona]: ['i have a condition that prevents me from going to high altitudes.'
 'i pray to god for my family every morning.']",That was nice of him!,"User1: At work, we went together for lunch. When it was time to pay, I notice that I forgot my wallet at the office.
User2: What happens next.
User1: My coworker decided to pay for the lunch and I will repay once back at the office."
"[User 1 persona]: ['i attend book club every week.'
 'i am more of a cat person than a dog person.']",It is.  How was your relationship with your parents?,"User1: my parents dies in an accident
User2: that is sad . my best friend is my mom . i could not image loosing her .
User1: it is harder some days than others. but it is good you get along with your mom so well"
"[User 1 persona]: ['i try not to think about death.' ""i'm obsessed with filming.""]","Huh, but why did you break up in the first place?","User1: Whoa! so that was crazy.  You'll never guess what just happened.
User2: Did you win that lottery??
User1: Haha I wish! My ex texted me the other day. She apparently still loves me."
[User 1 persona]: ['i love family time.' 'i am a soccer mom.'],Yes I do and that is playing Sudoka.,"User1: In Quake's single-player mode, players explore and navigate to the exit of each Gothic and dark level, its a very scary game with a lot of monsters, its like a sci-fi game
User2: Now, that does sound cool! I like scary stories in RPGs. That's my favorite genre when playing tabletop games!
User1: Do you have a favorite game?' 'Sudoka? Is that similar to sudoku?"
[User 1 persona]: ['i teach middle school art.' 'i am excellent at playing pool.'],In the past the umbrella term was billiards,"User1: Cue sport is a type of billiards?
User2: Yes. Historically, the umbrella team was billiards 
User1: Interesting. I've never played billiards."" 'Is it similar to snooker?"
[User 1 persona]: ['i am glad that i work from home.' 'i enjoy playing computer games.'],ok good. cats can see in near darkness. I scared about dark so my pet is useful for me,"User1: i mostly not think about it . yes , i've a pet . what about you ?
User2: cool . my pets visit me in bed
User1: i have to kick my cats out of bed, they never let me get any sleep"
"[User 1 persona]: ['i work in the pharmaceutical industry.' ""i've one sister.""]",That sounds like fun! What are you planning to do at the lake.,"User1: Today is going to be awesome! We are going to the lake to see all of our family!
User2: That sounds like a lot of fun, will you be cooking stuff too?
User1: Definitely! Hot dogs, brats, hamburgers, everything!"
[User 1 persona]: ['my mom is an osteopath.' 'i speak fluent italian.'],"So true! We just had a baby, and work just flies by! I usually can't wait to get back home.","User1: Do you ever feel like time is just going by way too fast?
User2: OMG! especially recently. a week seems like one day.
User1: Yes! Time especially goes by fast when I'm working at my job. I'm constantly busy."
[User 1 persona]: ['i like to mountain bike.' 'i love people with a sense of humor.'],I like to have a deep bass with my earphones. Beats are my favorite brand. ,"User1: I love the more traditional ones, I find earbuds to be uncomfortable. 
User2: I tend to agree. Traditional are more comfortable. They've been around a long time for a reason - since the late 19th century!
User1: How about earphones?' 'I do agree about that!"
[User 1 persona]: ['i grew up in alabama.' 'my mom is a checker at the local grocery store.'],I love the new mario kart! It is so much fun.,"User1: I am so hype for the new super smash bros, are you a fan of the series?
User2: Yes! My husband and I bought the old school Nintendo and played a couple of months back.
User1: What other games do you like?"
[User 1 persona]: ['nachos make me happy.' 'my boyfriend is in acting school.'],oh wow do you like to visit thrift shops ?,"User1: anything that you like to buy
User2: i do not make much money so thrift stores , and discount shops
User1: Same here. I tend to buy in bulk.' 'I love to visit thrift stores. "
[User 1 persona]: ['i love to clean.' 'i watch a lot of movies.'],What kind of dog do you have?,"User1: i crash around 230 to 300 . i don't have much of a social life .
User2: neither do i , you are not alone
User1: i am alone but i'm not lonely.i have a dog who's great company."
[User 1 persona]: ['i have black hair.' 'i live on a ranch.'],I usually don't. But this one was very impressive.,"User1: no way i do it a lot , at least when i am feeling well enough .
User2: awesome . that's the only thing i'll never do . i do like the outdoors though .
User1: I'm a thrill seaker. Do you like extreme sports?"
[User 1 persona]: ['my mom is a cancer survivor.' 'i am single and not looking.'],The symptoms shown by my mom was a chronic fever for more than 10 days,"User1: Yea and there isnt a cure for it right?
User2: There isn't a real cure, though knowing the symptoms helps, like lumps or abnormal bleeding.
User1: Yes early detection improves the odds to beating it. "
"[User 1 persona]: ['i work on trucks.' ""i'm a man.""]","I worked on my truck this morning, and then I took my kids trick-or-treating in the neighborhood.","User1: sounds like a horror movie , my favorite kind
User2: haha , yeah he melts my heart
User1: did you do anything fun for Halloween? "
[User 1 persona]: ['i like lightning mcqueen.' 'i have a cat named mater.'],Yeah. Which of the Cars movies do you like the most?,"User1: i Love that character i really like the scene where he rides in the desert
User2: I'm so glad you know about it, here's a fun fact about him, his number was changed from 57 to 95 to correlate with the release year of Pixar's first film Toy Story.
User1: i didn't know that .and i'm a big trivia buff"
"[User 1 persona]: ['my favorite band is one direction.'
 'the weather here is very cold , but so beautiful in the spring.']",Did you find it hard to learn the piano?,"User1: Same, he's my favorite!!
User2: I\'ve been following their careers since they appeared on ""The X Factor"" in 2010.
User1: He is so good at playing the piano, I have been playing myself for three years."
