personas,context,act_response
I would like to visit the Nazareth House again.I love Benevolent institutions.I am interested in History.I have curiosity about the Description of this place.I would like to know when it was Built.,"User1: I think Ive been there before but I dont remember the name of this place.
User2: This place is the Nazareth House, which you would like to visit again.
User1: Can you describe this house to me?
User2: You have curiosity about the description of Nazareth House and I will tell you. Nazareth House is prominently located on an elevation along Wynnum North Road. The complex consists of a number of buildings including the original building, the Convent and Chapel and two more recent additions, St Josephs Hostel and the nursing home known as Larmeniere.
User1: Does this house look old to me, when it was built?
User2: This house is relatively old, but since you would like to know when it was built, I will explain it to you. Nazareth House was built from 1924 to 1939.
User1: What is the history of this house?","User2: The history of the house you are interested in began in 1925 when it was opened by Archbishop James Duhig as part of the charity established on the site by the Poor Sisters of Nazareth. The Nazareth House, located in Tingal Hill, Wynnum, was designed by the Brisbane architecture firm, Hennessy, Hennessy, Keesing & Co and JP Donoghue and built by George Turner."
I have been to Vermont a few times to go skiing.I have always been fascinated by stories about the underground railroad.I wish that more people we’re interested in historic houses and appreciated the history that they were learning.I wouldn’t want to be governor.I would love to visit Canada more often.,"User1: Wow, this is amazing! What is this?
User2: This is the Truman Galusha House, which is a historic house that was added to the list if National historic places in 1978. Meaning that it’s one of the homes that you would enjoy learning about.
User1: Where is this house located?
User2: The house is located in Jericho, Vermont, a state that you have spent some time on the slopes in.
User1: How did this home get its name?
User2: The home got it’s name from the son of Jonás Galusha an early Vermont governor, a job you would not take.
User1: When was this historic home built?
User2: The home was built in 1790.
User1: When did Jonas Galusha first become governor of Vermont?
User2: He was governor nine separate times, the first one was in 1809.
User1: What is something historic that the home was used for?",User2: This house was use as a stop for slaves trying to escape into Canada during the days of the underground railroad.
I am fascinated by the Spanish Colonial Revival architecture style.I have never seen a movie palace.I have many friends in Marion.I live in Ohio.I love Historic Places.,"User1: Wow, this is amazing! What is this?
User2: This place is The Marion Palace Theatre, a movie palace. It is nice that you found this place amazing, it could be the first movie palace you ever see.
User1: Do you think I would like this place ?
User2: I think you would definitely love this place, you love historic places and this movie theatre is listed as one.
User1: Incredible. Where is this place ?
User2: The theatre is located in the city of Marion. When you visit one of your friends that lives there you should pass by the theatre.
User1: When did this place open ?
User2: The Marion Palace theatre opened on on August 30, 1928.
User1: What kind of theatre is this ?
User2: The Palace theatre is classified as a atmospheric theatre style theatre.
User1: Tell me more about the architecture of this place ?","User2: Sure, you will like to know that this place wasdesigned by John Eberson and is best described as designed in the Spanish Colonial Revival architecture style, which is an style you are fascinated by."
I want to become a college student.I want to study in science field.I want to study in Germany.Im looking for a university.I like science.,"User1: Where is this place?
User2: Hello! Welcome to Technische Universität Darmstadt! a research university located in the city of Darmstadt, Germany. If you looking for a good college to enroll in, dont miss this one!
User1: Who are the famous students at Technische Universität Darmstadt?
User2: Some of the famous students here are Georg Cantor, created the set theory, Karl Hessenberg, known for the Hessenberg matrix, Josef Ganz, Jewish automotive engineer and father of the original ""Volkswagen"", and John Tu, founder of Kingston Technology and billionaire.
User1: How is Technische Universität Darmstadt important?
User2: Technische Universität Darmstadt contributes so much to science field! It was a pioneer that introduced computer science, electrical engineering, artificial intelligence, mechatronics, business informatics, political science and many more courses as scientific disciplines. Since you want to study science, this place is for you!
User1: When was Technische Universität Darmstadt founded?
User2: Technische Universität Darmstadt was founded on 10 October 1877 by Louis IV, Grand Duke of Hesse.
User1: How many campuses does Technische Universität Darmstadt have?
User2: Technische Universität Darmstadt have 2 campuses which is Inner City and Lichtwiese.
User1: What is the ranking of Technische Universität Darmstadt?",User2: Technische Universität Darmstadt in the top 25 universities in Europe with the highest scientific impact by QS World University Rankings 2020.
I like to visit england.I love church.I would like to know the places other name.I wish to see library.I have to know about the church organ.,"User1: Where is this place?
User2: This place is in Boston, Lincolnshire.The country you like to visit.
User1: What are the names this place having?
User2: It showing your interest over knowing the places calling names, St Botolphs Church of the Parish of Boston is the official title for this place ,but it is more commonly known as the ""Boston Stum"". The local peoples saying this place as ""the stump"".
User1: What is the height of this church?
User2: It shows your love on church, the height of the tower in the church is 81.31 m.
User1: Is there anything special by having the tall tower ?
User2: For sailors this tower was used as an landmark for long time. In a clear day you can see this tower from Norfolk.
User1: What kind of instrument they using in the church?
User2: They use three large manual pipe organ of Harrison and Harrison. You can know more details about this organ in the National Pipe Organ Register.
User1: Finally, can you suggest some other things there to see?","User2: I suggest a place, for your wish of see library is possible here. St botolph having the centre of learning is located on the porch."
I would like to go to University.I live in Michigan.I like the Oakland county.I wish to visit Auburn Hills.I hope to visit Rochester Hills.,"User1: I think Ive been there before but I dont remember the name of this place.
User2: You mightve been here before - its quite memorable! Its called Oakland University.
User1: Where is it located?
User2: It is located where you live, Michigan! Its also by Auburn and Rochester Hills.
User1: What is special about the landmark?
User2: Well, it is a public research university and its the second largest university in the Detroit Metropolitan Area! If you would want to go here, youd have to work hard.
User1: What does it offer?","User2: They offer 132 bachelors degree programs and 138 professional graduate certificate, masters degree, and doctoral degree programs, however these include offers from Oakland University William Beaumont School of Medicine."
I love nice hotels.I would like to go to California.I am not from San Francisco.I wish to visit more landmark sites.I would like to stay in a suite.,"User1: I think Ive been there before but I dont remember the name of this place.
User2: This is Westin St. Francis, which is found in California.
User1: Is this a large hotel?
User2: It is very large with more than 1,254 rooms and suites, it is one of the largest hotels in the city. If you want to stay in a suite, this has many for you to chose from.
User1: Can I stay there today?
User2: Yep! The hotel today is known for its historic lobby master clock, which was the first in the US. If you love nice hotels, this would be an amazing place to stay.
User1: How many floors does it have?
User2: In the landmark building, there are 16 floors. In the tower building, there are 32 floors.
User1: When was it built?
User2: The two south wings were completed in 1904 and the north wing finished in 1913. Following that, the Tower building was completed in 1972.
User1: Who owns the building?","User2: Its current owner is Anbang Insurance Group, bit the management is run by Marriott International."
I have the fantasy about valley.I like lakes.I would like to go to California.I have seen lava domes.I have heard about Lassen Volcanic National Park.,"User1: I know this place, but I dont remember the name of this place.
User2: You can see lava domes in Chaos Crags of Lassen Volcanic National Park, California, the place you want to visit.
User1: What is the height of the mountain?
User2: The mountain have an elevation of about 8,448 feet.
User1: Is there any lake near by?
User2: Yes, each year, you can see a lake formed at the base of the Crags, and typically dries by the end of the summer season.
User1: Can I view volcanic phenomena nearby?
User2: Yes, You can have the Chaos Crags and Crags Lake Trail, which lasts about three hours round-trip, runs to the summit, and offers views of volcanic phenomena nearby.
User1: What are the other attractions for visitors?",User2: You can view Hat Creek valley and the Thousand Lakes Wilderness at the summit.
I am willing to start a seminary in New Brunswick.I like Protestant seminary.I love Reformed Church in America.I am inspired by John Henry Livingston.I have done my degree in St. Johns University.,"User1: I think Ive been there before but I dont remember the name of this place.
User2: It is a Reformed Christian seminary with its main campus in New Brunswick where you are willing to start a seminary, New Jersey.
User1: When it is found and how it is known in United states?
User2: It was founded in 1784 and is the oldest independent Protestant seminary which you like, extant in the United States.
User1: Who operate New Brunswick Theological Seminary?
User2: It is operated by Reformed Church in America (RCA) which you love.
User1: Under whos leadership it was first established in New York city?
User2: It was established under the leadership of the Rev. John Henry Livingston whom you are inspired by.
User1: Where does it offered classes at a satellite campus on the grounds?
User2: The seminary has offered classes at a satellite campus on the grounds of St. Johns University where you have done your degree.
User1: To which university it was closely connected before its establishment?",User2: It was closely connected with Rutgers University (formerly Queens College and Rutgers College).
I like the National War Memorial.I hope to move to Adelaide this year.I dont like the First World War.I have interest in History.I would like to know about the Restoration work.,"User1: I know this place, but I dont remember the name of this place.
User2: This place is the National War Memorial, which you like.
User1: Where is this memorial?
User2: This memorial is located on the north edge of the city center of Adelaide, which you hope to move to this year, South Australia.
User1: Can you tell me who this memorial is dedicated to?
User2: This memorial is in celebration of those who served in the First World War, which you dont like.
User1: Has this memorial ever been renovated?
User2: Yes, this memorial has already been renovated, and since you would like to know about the restoration work, I will explain it to you. In 2001, the memorials 70th anniversary year, a three-month remedial project was undertaken, restoring the bronze and stonework details and reinforcing the foundations.
User1: What is the history of this memorial?","User2: You have interest in history and will like to know the history of this memorial that started when over 5,000 South Australians died in WW1. In response to these deaths, Archibald Peake, the premier of South Australia, asked the state parliament to fund a memorial commemorating the victory and the sacrifice of those who had fought and fallen."
