gen_response,response_time
The history of Nazareth House is quite interesting; it dates back to a time of significant architectural development.,0.2509896755218506
The home was used as a library for children during its days as a school.,0.2061655521392822
The architecture of this theater is beautiful and features intricate decorations.,0.3340356349945068
Technische Universität Darmstadt has over 300 years of history and is considered one of the top universities in Germany.,0.2889680862426758
The local people say this tower is important for its history and significance.,0.3845791816711426
The campus offers many academic programs and research opportunities.,0.3761284351348877
The owner of the landmark building is the city of San Francisco.,0.1803388595581054
The other attractions include hiking trails and visiting the museum dedicated to volcano research.,0.1944525241851806
The university where RCA offers classes is located in New York City.,0.1868810653686523
The history of this memorial includes celebrations for peace and remembrance.,0.1760704517364502
The architect designed the Frederick C. Robie House; it was designated a National Historic Landmark by the U.S. government.,0.2911326885223388
The lake has many different types of fish and birds that make it a great habitat for these species.,0.2408905029296875
"Prospect Park Zoo has over 3,000 animals and attracts over 5 million visitors each year.",0.2813506126403808
The road was important for trade and communication between different regions along its length.,0.192540168762207
Robert Breitbard played for Hoover High School.,0.3239448070526123
Václav Havel Library is open to the public but not for tours.,0.2119245529174804
The homestead does have gardens and lawns.,0.1530730724334716
Trasimeno is famous for its beautiful architecture and historical sites.,0.3186705112457275
Cottage Home Historic District was built in the late 20th century.,0.2059321403503418
The park has grown and now offers more than just BMXes and attractions.,0.3917593955993652
The fort maintains its defenses and is still used by the army for training and exercises.,0.2105321884155273
Regular service means continuous daily service.,0.2906222343444824
Finding Nemo has over 30 submarines in its rides.,0.1760866641998291
The buildings were designed in Victorian style. The gardens are also Victorian with their own unique architecture.,0.2246394157409668
The name of this place is The Australian National University.,0.3831062316894531
The current status of the new stadium is that we are designing its architecture to better fit the modern风格的建筑理念.,0.2651853561401367
The structure of Eglinton Castle is known for its beautiful Gothic style.,0.1910955905914306
The designations have changed several times over the years.,0.3284130096435547
The basketball team has won several national championships at Providence College.,0.170112133026123
the design of these buildings is quite unique and different from what we see in other places.,0.415177583694458
"Currently, we are hosting educational programs and workshops at the Association.",0.3239870071411133
The residential area has been renovated recently and now looks better than before.,0.3759603500366211
The name of the park is Park Güell.,0.3255958557128906
The Normans invaded Denmark and conquered much of their land.,0.1778733730316162
The architecture of this house is beautiful and features intricate detailing.,0.3106241226196289
There are no ancient rock carvings at Bidston Hill; we have other historical sites to explore.,0.2404382228851318
The place has annual cultural events and music concerts to celebrate its history.,0.1889073848724365
"Colorado has many bird species, so you might be able to see a bald eagle at this park.",0.2307484149932861
This place offers guided meditations and talks about its history and teachings.,0.3740346431732178
The dynasty of Rana Veer Singh was Mughal.,0.1768641471862793
The standard offered by the program is to reduce speeds significantly.,0.3307666778564453
The sculptures at Quiriguá were destroyed by invaders during the Spanish colonial period.,0.2130990028381347
The Port of Novorossiysk has many historical and cultural significance for us.,0.4227180480957031
The stadium has hosted several European football tournaments.,0.2885694503784179
"There used to be a choir at St Georges Chapel, but no longer exists.",0.31954026222229
The park is managed by the county and local community.,0.2980473041534424
The purpose of the Bombay Hook is to protect these birds from predators while they are away from home.,0.2400052547454834
The house is from the early 20th century and has not been damaged yet.,0.2212343215942382
The story about Prometheus has never been told in our culture.,0.1757805347442627
Tredegar Iron Works is still in operation and is known for producing excellent artillery.,0.2214455604553222
Birdwatching is possible at Antelope Island State Park because of its excellent bird habitat.,0.2262718677520752
"The base is very large, containing all types of military equipment.",0.4146125316619873
There are also aquariums and planetarium shows at the zoo where we can learn more about different animals.,0.2424256801605224
Sigiriya has been visited by tourists and media regularly.,0.3551852703094482
